name,type,kind,power,accuracy,stamina,function_code,function_target,function_params,proc_chance,flags,description
Transport Buffer,villain,Physical,85,85%,5,,,,,,On the first turn the user bounces into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user descends and has a 30% chance to paralyze the target.
Chroniton Slap,spiritual,Special,20,100%,30,,,,,,Has a 10% chance to lower the target's Speed by 1 stage.
Time Slice,rogue,Special,65,100%,20,,,,,,Has a 10% chance to lower the target's Speed by 1 stage.
Pipes Mode,drunk,Status,0,,20,,,,,,Raises the user's Attack and Defense by 1 stage each.
Interface,dutiful,Status,0,,20,,,,,,Raises the user's Special Attack and Special Defense by 1 stage each.
Pick up line,dutiful,Status,0,100%,20,,,,,,Lowers the target's Attack by 2 stages.
Awaken Mosaka,spiritual,Special,0,100%,10,,,,,,Confuses the target.
Pakled Bite,merchant,Special,50,100%,25,,,,,,Has a 10% chance to confuse the target.
Bear Hug,dutiful,Physical,10,100%,35,,,,,,Has a 10% chance to lower the target's Speed by 1 stage.
Brace for Impact,villain,Status,0,,20,,,,,,Raises the user's Defense and Special Defense by 1 stage each.
Time Bubble,drunk,Special,0,100%,40,,,,,,Lowers the target's Speed by 2 stages.
Cross Hook,medical,Physical,90,90%,10,,,,,,Has a high critical hit ratio.
Double Axe Handle,synth,Physical,100,80%,5,,,,,,Has a high critical hit ratio.
Big Dog,medical,Physical,80,100%,15,,,,,,Has a 20% chance to lower the target's Defense by 1 stage.
Big Big Dog,spiritual,Physical,75,95%,10,,,,,,Has a 50% chance to lower the target's Defense by 1 stage.
Ball Kick,merchant,Physical,50,95%,30,,,,,,Deals damage with no additional effect.
Plot twist,photonic,Status,0,,5,,,,,,Causes an opponent to faint if its next attack KOs the user.
Use Idiom,warrior,Physical,70,100%,10,,,,,,Has a 20% chance to confuse the target.
Blur Filter,photonic,Status,0,,15,,,,,,Raises the user's Evasion by 1 stage.
Reckless Blow,science,Physical,120,100%,15,,,,,,The user receives 1/3 recoil damage.
Karate Chop,photonic,Physical,80,100%,15,,,,,,Deals damage with no additional effect.
Reduce Gravity,medical,Status,0,,20,,,,,,Raises the user's Attack and Speed by 1 stage each.
Forty Seven,science,Special,47,100%,10,,,,,,Always deals 47 damage
Pike Treatment,rascal,Special,60,100%,20,,,,,,Has a 30% chance to paralyze the target.
Wall Slam,engineering,Physical,80,100%,20,,,,,,Deals damage with no additional effect.
Allamaraine,rogue,Physical,100,50%,5,,,,,,Confuses the target.
Sucker Punch,diplomat,Physical,100,75%,10,,,,,,Deals damage with no additional effect.
Plasma Vent,dutiful,Special,40,100%,25,,,,,,Has a 10% chance to burn the target.
Jazz Horse Kick,criminal,Special,50,100%,5,,,,,,Base power decreases as the user's HP decreases.
Banger,rascal,Physical,250,100%,5,,,,,,Causes the user to faint.
Mind Meld,merchant,Special,80,100%,30,,,,,,Has a 10% chance to make the target flinch.
Warp 10 Poke,engineering,Physical,80,100%,5,,,,,,Usually goes first.
Dress Down,medical,Status,0,100%,20,,,,,,Lowers the target's Special Defense by 2 stages.
Honorable Blow,medical,Physical,40,100%,40,,,,,,Leaves the target with at least 1 HP.
Weaken,science,Status,0,100%,15,,,,,,Lowers the target's Attack by 2 stages.
Overload Phaser,psychic,Special,120,85%,5,,,,,,Has a 10% chance to burn the target.
Scathing Insult,diplomat,Physical,75,100%,15,,,,,,Has a 10% chance to burn the target.
Heroic Strike,diplomat,Physical,50,100%,15,,,,,,Base power increases as the user's HP decreases.
Vulcanian Fire,rogue,Special,95,100%,15,,,,,,Has a 10% chance to burn the target.
Flash,synth,Status,0,100%,20,,,,,,Lowers the target's Accuracy by 1 stage.
Flatter,medical,Status,0,100%,15,,,,,,Confuses the target and raises its Special Attack by 1 stage.
